vocabulary,machine_value,readable_label,columns,source,frozen
about,purpose,Value dictionaries and readable header display names for the five PitchLog CSV exports (readability glossary v1),all five exports,docs/export-readability-specification.md:295-306,no
about,frozen,"yes = spec Part C.2 MUST-NOT-CHANGE column (Once Sport import surface: no rename, no reorder, no value-format change); every column is additionally bound by the Part C.3 additive-only rule and the season-player 63-column and full-analysis legacy contracts",spec Part C,docs/export-readability-specification.md:337-378,no
about,source,every mapping row cites the code source (file:line) of its machine value — verified at baseline b0cd92a,all rows,docs/export-readability-specification.md:7-8,no
about,empty,an empty machine_value row documents the export empty cell (unknown / not recorded — never zero),value vocabularies,docs/export-data-dictionary.md:22,no
outcome,SUCCESS,Success,match-events:outcome; season-events:outcome; match-events-full-analysis:Event Outcome,renderer.js:119-123,no
outcome,FAILURE,Failure,match-events:outcome; season-events:outcome; match-events-full-analysis:Event Outcome,renderer.js:119-123,no
outcome,,—,match-events:outcome; season-events:outcome; match-events-full-analysis:Event Outcome,renderer.js:119-123,no
outcome_display:Duel,SUCCESS,Won,in-app event rows (not an export column),renderer.js:102-106,no
outcome_display:Duel,FAILURE,Lost,in-app event rows (not an export column),renderer.js:102-106,no
outcome_display:Press,SUCCESS,Success,in-app event rows (not an export column),renderer.js:102-106,no
outcome_display:Press,FAILURE,Failure,in-app event rows (not an export column),renderer.js:102-106,no
outcome_display:Turnover,SUCCESS,Successful,in-app event rows (not an export column),renderer.js:102-106,no
outcome_display:Turnover,FAILURE,Unsuccessful,in-app event rows (not an export column),renderer.js:102-106,no
outcome_display:Cross,SUCCESS,Successful,in-app event rows (not an export column),renderer.js:102-106,no
outcome_display:Cross,FAILURE,Unsuccessful,in-app event rows (not an export column),renderer.js:102-106,no
side,for,Our team,match-events:side; season-events:side,renderer.js:5445,no
side,against,Opponent,match-events:side; season-events:side,renderer.js:5445,no
team,our,Us,match-events-full-analysis:Team,renderer.js:5439-5441,no
team,opponent,Opponent,match-events-full-analysis:Team,renderer.js:5439-5441,no
home_away,home,Home,season-player:home_away,index.html:343-345,no
home_away,away,Away,season-player:home_away,index.html:343-345,no
home_away,neutral,Neutral,season-player:home_away,index.html:343-345,no
period,PRE_MATCH,Pre-match,match-events-full-analysis:Period,renderer.js:130-134,no
period,1H,1st Half,match-events-full-analysis:Period,renderer.js:130-134,no
period,HT,Half-time,match-events-full-analysis:Period,renderer.js:130-134,no
period,2H,2nd Half,match-events-full-analysis:Period,renderer.js:130-134,no
period,FT,Full-time,match-events-full-analysis:Period,renderer.js:130-134,no
period,ET1,ET 1st Half,match-events-full-analysis:Period,renderer.js:130-134,no
period,ET_HT,ET Half-time,match-events-full-analysis:Period,renderer.js:130-134,no
period,ET2,ET 2nd Half,match-events-full-analysis:Period,renderer.js:130-134,no
score_state,WINNING,Winning,match-events-full-analysis:Score State; season-player:state_winning/state_drawing/state_losing (column semantics),renderer.js:5250-5252,no
score_state,DRAW,Drawing,match-events-full-analysis:Score State; season-player:state_winning/state_drawing/state_losing (column semantics),renderer.js:5250-5252,no
score_state,LOSING,Losing,match-events-full-analysis:Score State; season-player:state_winning/state_drawing/state_losing (column semantics),renderer.js:5250-5252,no
participation_status,STARTED,Started,season-player:participation_status,player-season.js:716,no
participation_status,STARTED_FULL,Started (full match),season-player:participation_status,player-season.js:715,no
participation_status,STARTED_SUBBED_OFF,"Started, subbed off",season-player:participation_status,player-season.js:714,no
participation_status,STARTED_SENT_OFF,"Started, sent off",season-player:participation_status,player-season.js:713,no
participation_status,SUB_ON,Substitute on,season-player:participation_status,player-season.js:720,no
participation_status,SUB_ON_SUBBED_OFF,"Sub on, subbed off",season-player:participation_status,player-season.js:719,no
participation_status,SUB_ON_SENT_OFF,"Sub on, sent off",season-player:participation_status,player-season.js:718,no
participation_status,UNUSED_SUB,Unused substitute,season-player:participation_status,player-season.js:723,no
participation_status,NOT_INVOLVED,Not involved,season-player:participation_status,"player-season.js:727,729",no
participation_status,UNKNOWN,Unknown,season-player:participation_status,player-season.js:725,no
participation_status,SEASON_SUMMARY,Season summary,season-player:participation_status (sentinel on summary rows),season-csv.js:249,no
minutes_quality,RELIABLE,Reliable,season-player:minutes_quality,player-season.js:456,no
minutes_quality,ESTIMATED,Estimated,season-player:minutes_quality,player-season.js:456,no
minutes_quality,UNAVAILABLE,Unavailable,season-player:minutes_quality,"player-season.js:360,370",no
minutes_reasons,OPPONENT_SUB_REFERENCES_PLAYER,Opponent substitution references this player (informational),season-player:minutes_reasons (codes joined with ;),player-season.js:340,no
minutes_reasons,NO_PARTICIPATION_MARKERS,No participation markers,season-player:minutes_reasons (codes joined with ;),player-season.js:358,no
minutes_reasons,SUB_TIME_MISSING,Substitution time missing,season-player:minutes_reasons (codes joined with ;),"player-season.js:373,423",no
minutes_reasons,MULTIPLE_SUB_ON,Multiple sub-on markers,season-player:minutes_reasons (codes joined with ;),player-season.js:375,no
minutes_reasons,NO_FT_MARKER,No full-time marker,season-player:minutes_reasons (codes joined with ;),player-season.js:376,no
minutes_reasons,END_FALLBACK_LAST_KNOWN,End fell back to last-known evidence,season-player:minutes_reasons (codes joined with ;),player-season.js:422,no
minutes_reasons,STARTING_XI_MISSING,Starting XI missing,season-player:minutes_reasons (codes joined with ;),player-season.js:692,no
minutes_reasons,NOT_IN_SQUAD,Not in squad,season-player:minutes_reasons (codes joined with ;),player-season.js:691,no
x1_status,MATCH,Score chain consistent,season-player:x1_status,"analytics.js:1618; player-season.js:614,636",no
x1_status,MISMATCH,Score chain inconsistent,season-player:x1_status,"analytics.js:1618; player-season.js:614,636",no
x1_status,MANUAL-EMPTY,No manual score,season-player:x1_status,"analytics.js:1618; player-season.js:614,636",no
state_suppressed,X1_MISMATCH_SUPPRESSED,Suppressed — score chain inconsistent,season-player:state_suppressed,player-season.js:804,no
boolean,TRUE,Yes,season-player:started; subbed_on; subbed_off; sent_off,season-csv.js:101-105,no
boolean,FALSE,No,season-player:started; subbed_on; subbed_off; sent_off,season-csv.js:101-105,no
result,W,Win,season-player:result (cell = W/D/L + score),player-season.js:622,no
result,D,Draw,season-player:result (cell = W/D/L + score),player-season.js:622,no
result,L,Loss,season-player:result (cell = W/D/L + score),player-season.js:622,no
zone,zone_dl,Defensive third · Left channel,season-player:zone_dl,season-csv.js:123-133,no
zone,zone_dc,Defensive third · Central channel,season-player:zone_dc,season-csv.js:123-133,no
zone,zone_dr,Defensive third · Right channel,season-player:zone_dr,season-csv.js:123-133,no
zone,zone_ml,Middle third · Left channel,season-player:zone_ml,season-csv.js:123-133,no
zone,zone_mc,Middle third · Central channel,season-player:zone_mc,season-csv.js:123-133,no
zone,zone_mr,Middle third · Right channel,season-player:zone_mr,season-csv.js:123-133,no
zone,zone_al,Attacking third · Left channel,season-player:zone_al,season-csv.js:123-133,no
zone,zone_ac,Attacking third · Central channel,season-player:zone_ac,season-csv.js:123-133,no
zone,zone_ar,Attacking third · Right channel,season-player:zone_ar,season-csv.js:123-133,no
zone,zone_unlocated,Unlocated,season-player:zone_unlocated,season-csv.js:78,no
location_zone,Defensive third · Left channel,Defensive third · Left channel,match-events:location_zone; season-events:location_zone; match-events-full-analysis:Pitch Zone,renderer.js:1249-1259,no
location_zone,Defensive third · Central channel,Defensive third · Central channel,match-events:location_zone; season-events:location_zone; match-events-full-analysis:Pitch Zone,renderer.js:1249-1259,no
location_zone,Defensive third · Right channel,Defensive third · Right channel,match-events:location_zone; season-events:location_zone; match-events-full-analysis:Pitch Zone,renderer.js:1249-1259,no
location_zone,Middle third · Left channel,Middle third · Left channel,match-events:location_zone; season-events:location_zone; match-events-full-analysis:Pitch Zone,renderer.js:1249-1259,no
location_zone,Middle third · Central channel,Middle third · Central channel,match-events:location_zone; season-events:location_zone; match-events-full-analysis:Pitch Zone,renderer.js:1249-1259,no
location_zone,Middle third · Right channel,Middle third · Right channel,match-events:location_zone; season-events:location_zone; match-events-full-analysis:Pitch Zone,renderer.js:1249-1259,no
location_zone,Attacking third · Left channel,Attacking third · Left channel,match-events:location_zone; season-events:location_zone; match-events-full-analysis:Pitch Zone,renderer.js:1249-1259,no
location_zone,Attacking third · Central channel,Attacking third · Central channel,match-events:location_zone; season-events:location_zone; match-events-full-analysis:Pitch Zone,renderer.js:1249-1259,no
location_zone,Attacking third · Right channel,Attacking third · Right channel,match-events:location_zone; season-events:location_zone; match-events-full-analysis:Pitch Zone,renderer.js:1249-1259,no
event_label,Goal,Goal,match-events:label; season-events:label; match-events-full-analysis:Label/Category/Event; clip_playlist:label,renderer.js:17,yes
event_label,Shot,Shot,match-events:label; season-events:label; match-events-full-analysis:Label/Category/Event; clip_playlist:label,renderer.js:23,yes
event_label,Pass,Pass,match-events:label; season-events:label; match-events-full-analysis:Label/Category/Event; clip_playlist:label,renderer.js:31,yes
event_label,Foul,Foul,match-events:label; season-events:label; match-events-full-analysis:Label/Category/Event; clip_playlist:label,renderer.js:39,yes
event_label,Card,Card,match-events:label; season-events:label; match-events-full-analysis:Label/Category/Event; clip_playlist:label,renderer.js:44,yes
